City,AQI,PM2.5,PM10,NO2,CO,SO2,O3,Temperature (°C),Humidity (%),Wind Speed (km/h),Rainfall (mm),Pressure (hPa),Vehicle Count,Industrial Activity Index,Health Impact Score
Kolkata,453,236.6301649,222.3556021,39.89965021,5.442725111,19.39819781,34.37377246,35.93868646,34.99636181,19.38125279,235.5238758,1033.847297,115269,2.000375547,10
Agra,415,14.23172913,48.22940967,72.75546628,5.965183166,5.103254781,19.13075001,16.06561852,43.61495997,10.81631549,46.15473094,966.1869928,222997,9.497149947,10
Srinagar,125,33.54345979,57.20180371,59.1824336,3.633780823,13.42506167,38.03487508,15.64371292,77.04703932,17.79245488,62.48999797,983.3333414,110459,7.1109765,10
Thane,390,75.21674332,49.70223527,25.57365174,1.627171535,5.054899427,91.76986178,32.54756899,36.0013338,11.65741512,44.29317873,1021.11639,126885,6.058985802,10
Mumbai,289,66.13582103,293.7015034,38.22038954,6.664728177,48.23323322,53.97036956,12.28247518,87.86077865,12.71745105,172.0503691,999.1334323,182269,4.904735143,10
Thane,341,123.6129093,269.7245231,38.23023341,5.508188159,6.581195032,95.66703945,40.29240478,96.64169003,0.747632603,122.6108391,981.764543,418808,6.900329447,10
Nashik,113,198.7315343,292.3382839,58.75828172,5.961478329,35.88607986,28.54840406,27.70034664,67.90185506,6.958467121,264.958028,1033.595091,407907,0.890939256,10
Mumbai,208,180.635889,253.597601,56.5124411,1.759103879,12.81684929,34.10614733,21.78577497,53.4046753,18.08570548,268.4628558,1023.409638,215500,1.541009246,10
Pune,359,89.99523254,145.4229295,29.62321294,6.779656759,12.71998986,75.22367054,20.9526353,49.69552212,2.174317075,123.3891216,967.3511606,83412,6.028228676,10
Patna,327,108.8779058,91.85516041,17.61595534,9.139347007,22.96507367,55.50755795,30.44538552,43.21584566,15.12260303,151.842029,1037.278669,235881,8.799537286,10
Thane,469,113.1685681,286.8603973,25.15329103,2.316345113,25.81135239,96.56350175,13.26703952,82.54307889,13.31229383,218.2637508,1047.77824,243088,9.855694771,10
Ludhiana,491,110.2613098,30.70593254,8.280153538,3.506305976,6.061671097,45.86886379,25.67867525,64.21882819,9.447548085,126.9839369,958.655692,149879,3.096273348,10
Srinagar,239,23.36518845,53.5647894,48.73162584,2.819252139,21.34120729,14.18241001,33.52530218,22.49787562,9.328026338,25.08500129,1012.596147,254395,3.06595319,10
Nashik,70,33.9826582,128.7279449,31.46261433,3.762955928,2.288733148,60.21660415,39.85436325,23.2999801,13.59629494,160.524784,1028.209101,314105,1.909410747,10
Chennai,65,23.68376767,134.2153573,48.78066351,3.184268855,21.7418119,83.47624974,44.98341233,42.44340237,6.018884416,175.7006892,982.9764088,224217,2.296450677,10
Varanasi,145,40.42953127,37.60078541,35.82679571,6.768535241,25.04401683,20.06071323,37.03119177,65.06293341,19.06154442,76.3291362,973.7764735,91641,9.310191299,10
Thane,233,144.7007019,64.01403042,17.205012,1.170102311,19.81004351,22.03790894,44.61909979,44.18615435,5.082381034,113.3919256,1043.688079,335957,6.817217268,10
Chennai,63,84.71207314,299.3235205,35.7194924,5.210688892,46.59978721,91.57138929,35.09480317,64.87064717,8.985779736,171.8284909,966.3688339,148885,5.124474832,10
Ahmedabad,157,42.0192108,284.8691213,14.08060274,2.252872942,28.79388948,33.14921938,34.16380093,89.90071238,14.79134799,265.6864871,985.3684598,63029,2.430125318,10
Hyderabad,470,42.50526736,60.78182221,71.15706458,5.964214059,18.0412974,25.63339436,37.68949117,92.01039805,7.813236291,278.2532293,1003.701603,196986,4.20574071,10
Pune,269,154.530697,187.2577731,56.81397345,3.449417657,17.72151624,5.160986857,20.88664083,21.22904601,0.860061204,141.0998724,951.6347003,358142,8.517640617,10
Bangalore,425,163.9666963,267.225815,73.66452791,0.514210794,27.82518974,81.81824189,18.26303258,48.38958286,19.88099351,133.0976327,1002.882738,487876,9.041378603,10
Indore,340,43.28904289,253.4964485,65.78534251,6.282609465,9.489337484,85.76525542,31.55120185,86.28756278,13.06439177,72.96178378,989.6247757,415286,1.782446523,10
Varanasi,114,99.21222945,102.3115963,7.297227348,9.960001928,39.41259175,28.39091746,26.66025472,49.86522685,17.29785619,289.3678001,957.9645449,387363,3.846211932,10
Nagpur,468,55.2861902,201.4185918,46.22280192,2.288419644,36.63925753,76.97009185,26.82457117,65.09631696,18.0210686,275.6316312,1008.394127,445062,0.46518914,10
Mumbai,293,101.4680863,52.26303559,77.65195644,3.206774983,7.611597662,23.82185639,25.22848435,62.67388717,1.510288428,55.81597285,1036.003809,496724,1.273549866,10
Thane,272,173.0418213,54.63022845,37.70919693,4.66616225,3.073240661,35.39012085,44.28506765,52.73091853,6.746181882,60.87558011,1005.995112,5140,8.961196799,10
Mumbai,181,24.26011321,253.8823332,52.42213746,5.212964621,12.66592779,58.1967704,39.06782489,94.47913993,14.09396579,276.5457191,1009.201605,54440,2.885617796,10
Ahmedabad,309,235.2358984,286.740415,14.45351606,4.28098408,2.146237441,30.06102233,23.88255694,73.96001986,12.43034339,72.13731238,1015.170703,34075,4.601898927,10
Hyderabad,388,219.1993116,80.13501981,74.43583652,5.057402678,32.91105839,96.83013229,16.80911146,27.17114313,13.18372227,99.27254772,996.5950978,52973,2.722598975,10
Delhi,88,213.1092215,144.0055016,70.5024621,5.04874415,19.522755,17.25071257,35.89770564,77.58577024,16.1996872,127.7940548,1031.614182,26606,9.233489884,10
Lucknow,220,135.3859119,126.8705169,56.45904793,0.264904549,47.29173029,73.97682176,26.43416755,66.11139832,16.87624129,156.5730356,1049.353401,310696,1.484780089,10
Lucknow,408,247.426486,178.8802048,50.43888639,7.433264076,34.88420887,15.77313647,14.88124254,37.61314965,13.25035704,28.86712722,975.5646212,140257,5.324653163,10
Lucknow,312,80.91732928,74.77824915,25.41073132,7.9942374,46.87379503,90.02072375,12.49177429,69.74344313,14.94172089,33.14546155,957.5916091,91785,6.998199234,10
Jaipur,236,131.8625085,77.58358005,49.19995295,6.036825299,17.64276893,46.14289001,42.00656589,94.39576538,15.96247887,284.7317971,1030.288385,487306,4.530457548,10
Thane,461,64.27537988,264.7497807,50.84420059,5.338048326,35.52486824,86.44942798,24.98567855,83.96241693,1.866575293,183.9814381,1001.042891,163668,8.180030117,10
Chennai,62,36.10113085,60.77885529,20.1240644,1.255524307,31.82298106,15.95378317,32.31096462,51.79291241,19.58458998,291.0905185,1029.488709,279908,8.634964719,10
Nagpur,207,181.5492618,266.3650896,19.39074251,5.249478694,35.49832585,37.65322929,32.2448816,80.05884132,13.91129793,261.0063127,970.8568943,429403,0.703520914,10
Ahmedabad,491,194.4301561,254.8682498,48.15187434,8.780346427,12.8769739,33.72525544,27.14211889,83.50201979,17.13241492,86.00225535,958.758535,247853,0.356039864,10
Ludhiana,77,118.2970797,209.7720622,19.71418322,2.692569181,18.70385781,75.27786389,40.09974451,86.10496877,2.240137929,186.8006836,1031.246935,464881,8.648193113,10
Lucknow,359,133.5396538,277.9591845,73.75424392,5.149551768,37.2749308,55.79918388,44.67692918,42.95190111,13.69624999,48.01534632,1010.323681,176846,9.015619866,10
Nagpur,195,180.0497717,136.6388799,46.4020562,5.441239172,29.70883253,48.35780123,18.9600665,48.58486974,5.819621202,174.8073208,1032.078742,354880,2.156114648,10
Chennai,140,38.49596676,25.42123008,57.18604246,4.233617376,41.7216247,24.21987134,21.67888945,57.82394253,10.56408636,189.9302376,955.6081034,108878,8.475494015,10
Nashik,207,174.7536637,118.3392411,43.19653312,2.085123808,24.58325812,52.36833304,18.33304962,27.05711022,1.770352324,25.93613519,1043.019416,277971,6.164353346,10
Surat,365,69.90245823,117.356432,64.59157973,5.576017488,15.23654667,97.61070121,28.39280779,46.17046094,10.12066405,86.55251372,1006.47918,470565,6.9417158,10
Vadodara,316,52.22337845,277.3473505,32.31285822,0.392482981,11.95268202,73.97300238,35.31404601,62.93786659,17.64241955,42.64594214,998.772255,447697,9.030685625,10
Kolkata,378,208.867634,298.1581708,59.71899645,9.573144461,18.51938547,72.72182128,37.86850768,66.42817093,4.908426141,8.013470172,964.0708601,312050,7.013307941,10
Ludhiana,288,120.5073357,129.2063769,78.17415736,5.568023333,23.96485198,80.74634291,30.11619721,21.78183577,9.8513557,37.25134241,1024.277659,496705,8.979986605,10
Ludhiana,75,117.1605735,281.5484857,28.9711691,1.790645913,37.68679448,42.7321135,26.9070817,66.77977919,1.232980102,129.5974148,1005.115918,231521,4.383642081,10
Patna,278,44.50873381,232.8091869,24.98592755,0.930875587,32.40669117,9.85905429,24.63888685,40.8623589,2.726530592,116.7998653,960.7648295,405032,5.533268688,10
Hyderabad,115,46.25139132,105.3404915,7.573436927,5.387225414,22.74886218,93.41550323,40.09612929,71.43750933,6.342857829,152.2753034,1046.593674,484479,9.531405799,10
Ahmedabad,453,166.1643321,128.7301702,50.11330845,9.014032506,43.96795193,23.84844914,44.77470062,53.49466555,15.16370074,249.130176,979.8297258,97545,5.540600807,10
Nashik,90,163.6971644,138.6464778,18.31130011,4.427833393,45.86859272,72.59047476,13.82517642,74.24398185,13.31481652,285.3731378,1045.216358,192654,4.773779338,10
Nagpur,425,33.75977007,249.1367583,40.29691861,4.000177122,44.96289831,85.92493618,16.37665542,44.4710172,17.52304443,259.1267406,992.3991213,335946,2.087253434,10
Bhopal,182,223.9663369,204.9986989,50.36169753,0.211390373,5.06601675,68.62369421,26.5630193,22.32337978,13.95210161,48.31720715,982.3724687,370524,7.643425974,10
Pune,172,59.49835546,72.46520858,67.15142143,7.174351602,3.670365622,29.93322261,20.7768794,45.69870012,7.777849114,170.2178784,1042.063743,168023,8.2505913,10
Agra,185,166.7300307,161.5787747,5.643748984,3.439318979,13.61321009,69.17209807,18.64609211,48.45693975,12.47286139,94.62108413,952.3053861,176942,1.14448168,10
Ludhiana,349,186.50382,117.4885497,42.86688341,6.925092359,18.16087431,39.03812365,15.33767421,41.34279269,9.337428505,288.1204433,973.6800306,497770,0.320483252,10
Pune,416,227.0294339,84.94171024,35.95835263,5.017307557,37.3934223,73.12424948,43.36534078,45.06276989,7.859029287,139.0689595,953.9126157,427169,6.242731152,10
Lucknow,417,157.4304295,39.94211035,57.39539946,8.085299022,24.84200233,73.40992864,39.09065361,83.9210661,0.773237294,16.10732515,1030.461748,87906,1.102873548,10
Delhi,246,88.68174954,184.9398224,30.94187254,0.8648877,43.78643896,89.74849051,14.70106299,30.56808674,18.93857996,213.070445,950.9996593,187529,1.122276461,10
Surat,437,111.405133,221.8429253,59.40302515,8.646462421,13.93454845,85.55554837,37.74081991,27.88897436,11.93679421,249.6761952,1045.905529,351353,3.961852731,10
Patna,190,18.3817,100.1201001,38.72646825,3.335181279,19.04974873,36.55015947,10.676203,55.80805981,4.908641869,114.4705752,957.0873024,170828,0.325545469,10
Chennai,95,77.15257993,286.0392565,76.7033692,4.010734368,12.72914619,82.45519295,43.94235017,29.7012877,8.184138891,286.3164471,988.75967,401460,9.061923421,10
Hyderabad,115,57.11944257,44.01365929,65.14460817,5.351668248,23.02351162,32.40147196,19.47877107,43.88350581,19.67241917,90.98675784,1023.411236,273562,7.474491136,10
Meerut,269,177.6417356,195.8919102,52.1161393,8.821063575,12.94484469,33.21105064,11.43876121,41.94139173,15.8426921,205.8639731,983.0543503,88955,8.593615006,10
Ludhiana,302,71.49807974,98.64235571,51.07748882,7.549084273,8.450424052,27.62924676,33.23612865,35.4690268,14.82818263,89.64695759,990.2246277,54582,1.5606535,10
Agra,403,121.2259962,284.5964572,17.53883813,2.362836088,19.14611522,26.52694168,18.50078214,62.7823797,7.382790436,111.2353438,953.9399006,250379,8.022691262,10
Thane,170,228.0961706,224.0101781,53.08506808,7.419789021,35.2112164,17.07347945,44.32594885,71.82710064,4.78180476,232.8411833,1022.041362,261880,4.67897749,10
Agra,66,158.5157261,192.3509358,76.92550262,5.742004554,18.85649408,47.5278514,20.86790952,31.94038859,7.042560751,155.1102462,1044.81581,376123,9.15645362,10
Agra,145,61.62562636,247.8737509,33.49953318,5.461165068,24.09897127,56.45948264,40.65859396,72.78235951,14.07732478,34.0732753,964.4417464,131622,3.89891938,10
Nagpur,375,12.48501226,113.8416208,40.22822817,2.59602307,34.76522533,44.72343944,22.00781332,49.57657128,1.675690641,204.1361872,974.2353052,248430,2.010385702,10
Chennai,381,38.75730976,23.952858,51.13289441,4.948013508,29.60262615,65.76071806,29.50907864,39.52889548,13.18090867,107.2922927,981.3287824,45037,8.672904685,10
Srinagar,380,136.6163754,254.9832617,40.10072021,3.61809971,2.059964838,26.32335377,23.97962668,64.00219711,10.45860029,106.1171939,963.9691962,369080,5.208564238,10
Mumbai,440,24.6743784,86.80608893,35.79307205,3.558167739,5.620031091,64.09313037,38.37680614,64.44415189,2.991164188,291.8824615,964.7043464,287091,6.690737202,10
Surat,72,211.5023666,35.08807315,39.53181403,1.73820457,30.52290975,37.89728364,21.21549542,75.27808674,2.699592356,54.62626958,982.8668601,103115,4.812866213,10
Chennai,126,201.7574298,223.7137825,26.43141236,3.735717238,5.971594279,27.30443056,20.03172122,71.80315701,9.743871565,126.1354123,1031.74732,416686,1.80222098,10
Nashik,99,12.22687752,163.1486164,8.520121797,2.741064188,21.28027939,36.38841301,13.92636163,81.09167005,11.13409348,57.30001367,958.7769443,392539,0.899998784,10
Meerut,303,99.13034213,198.4584289,54.95603723,9.762375949,23.35261841,68.66763181,40.93681354,78.27645566,11.137382,269.0688788,991.1953689,460993,3.931705509,10
Agra,87,95.32662027,228.3395881,36.33024805,1.358923872,48.13605622,96.54358708,25.22227673,96.12763211,6.408412504,51.83468843,951.5180941,28675,2.031068923,10
Nagpur,464,206.4708383,188.9768432,6.121919023,5.30122243,35.06601924,14.11578919,16.84195729,72.29247521,14.67062648,263.6795357,951.7236362,84285,3.287623019,10
Indore,451,62.02800306,121.0423728,67.96374122,7.937250217,9.459982914,42.55802547,42.21910683,85.50475208,19.87647602,12.24068359,978.3931772,406853,0.712601248,10
Rajkot,376,223.4004874,41.91122087,41.01551415,3.660124268,32.7560791,49.8469149,13.69295726,67.95267569,10.38345892,179.18562,1046.464685,25237,6.824594,10
Meerut,445,26.01346689,262.7470402,23.99905821,9.659415929,20.58941788,93.05582221,43.51972027,28.46985136,11.91796611,76.8889368,997.1349257,385218,4.093819624,10
Indore,349,239.5701916,135.6941983,19.50050621,7.577540911,34.05629033,7.359152749,38.66756787,53.53795693,18.79872642,282.0857632,967.5879653,419004,1.478022466,10
Ludhiana,376,170.1860498,224.6332463,79.69499687,0.101670281,4.365908243,60.18748529,31.52265923,36.29296193,18.74157943,81.64045173,1000.398555,36895,4.915372597,10
Ludhiana,367,81.87473479,285.0744945,67.9110771,7.369187332,17.13192091,5.829209265,36.30021477,84.30840568,0.601587858,257.0914241,1035.119323,39725,6.932217996,10
Jaipur,450,19.09877026,107.2622627,26.60203481,9.624476256,34.56278103,96.10482877,42.26496948,32.90470088,15.80033713,275.6702313,1009.524295,147930,6.465384001,10
Nagpur,191,117.6725415,189.9474932,40.46564711,6.050819486,9.169920642,85.2391403,34.52487812,23.18037375,8.989970534,107.6327654,1039.234821,3069,6.327940968,10
Rajkot,184,45.0875817,273.3740441,7.310877144,8.650225981,48.16342138,41.43255392,42.23996836,47.55151269,10.93278601,97.03828038,959.0020553,90717,8.695935629,10
Thane,490,20.3188902,286.8997216,78.26452345,9.845091875,33.26638288,95.31314694,36.47907698,62.17032846,14.75828026,294.3904816,964.9460276,290904,7.957643726,10
Delhi,100,91.78014578,240.9971075,10.00245341,9.715025837,17.49080015,24.12283887,40.67404393,55.7601695,13.70713077,34.4925015,1017.723432,52839,8.618021671,10
Nagpur,307,225.9862485,234.714024,32.01570984,1.895353355,44.13684227,21.50289393,37.82079451,50.50520411,11.80285529,178.6413048,1048.739397,354504,3.582002302,10
Pune,59,59.14056742,148.9634753,20.08417568,9.267800741,10.08961314,67.99192879,10.9630957,69.37625548,7.195918716,215.1674432,1006.131839,60717,0.916922704,10
Rajkot,86,207.783503,286.7466423,72.47218711,1.691377551,24.49962603,7.46816262,24.64677176,96.86179517,3.941856817,202.1777293,950.8834489,375245,8.734338726,10
Nashik,436,177.3298214,161.3756278,62.04718689,3.406370786,6.475947828,32.94157259,28.77692104,73.11427765,8.395512703,161.491239,958.3587991,195277,9.026225746,10
Delhi,179,104.7664598,100.8772154,21.35815593,3.611133533,37.99185695,39.35087503,12.55896835,77.14392948,5.601022201,193.7787487,990.1407313,315824,3.44583075,10
Kolkata,117,63.24678762,59.36457554,78.31728418,4.737547966,14.08052598,90.5234244,32.73650753,83.80243063,1.133357053,128.6220715,1041.880687,54641,3.502777262,10
Agra,452,88.999097,135.825295,49.36157516,0.987690583,11.55110052,30.66967612,23.85872666,24.51877902,18.39249499,192.8841958,991.5278783,46599,2.404146962,10
Jaipur,221,134.4298634,219.585359,59.28705883,8.005654222,16.24177307,62.605065,24.74706065,52.16060533,13.94563728,242.8061885,952.438304,227804,8.457014119,10
Jaipur,447,160.5929544,70.89805277,64.27165379,9.945586438,44.08493517,34.75175984,39.60937744,40.43435908,5.343361542,240.1550368,961.9673987,213331,8.296972033,10
Thane,147,75.51283929,192.086863,28.07128447,6.995343971,16.02521937,5.147064153,31.99002325,67.41826899,1.159554781,46.45914283,1034.831908,237927,8.871857976,10
Thane,102,121.3129916,193.1874442,70.74791187,4.296204014,39.45159119,11.89792819,21.66997267,70.20040866,6.541273108,268.8781444,962.282242,385500,9.370249524,10
Jaipur,188,10.39158141,194.4451332,29.79512534,4.19597857,14.79152863,6.406418816,39.66899447,63.04425466,1.977281183,61.79987551,968.2101403,84962,2.028642861,10
Surat,203,147.8450962,212.2199331,10.70809292,8.694632336,11.8924265,67.01166878,20.7070474,45.5648227,8.092912011,264.1604697,975.1851142,493326,9.425720058,10
Hyderabad,197,123.2241973,261.817569,16.64782866,1.627634996,21.92959686,41.55453606,42.59054685,26.36497289,6.912968433,6.054602042,1033.433119,196420,8.919783355,10
Surat,230,42.84523685,70.11561869,11.5442943,8.548022366,36.63548576,97.12613868,13.46916425,33.52905415,12.30273605,212.9930806,1000.454386,88186,6.942328464,10
Ludhiana,63,37.95731983,154.030977,65.78332521,6.776661029,2.360086392,17.16387869,15.57287117,98.62428761,10.71541215,228.0583744,952.5012013,437428,7.997023212,10
Meerut,365,207.478833,191.9984225,75.02151626,4.124563189,16.7074908,85.60708013,22.86221238,63.70898232,18.67042397,82.13434762,991.1459089,479322,0.29875438,10
Bhopal,380,163.7637879,82.45695947,46.55901151,1.762092903,33.17963062,61.39435391,13.97790456,76.59477452,17.1326565,185.1866231,1037.279756,251700,9.001590493,10
Patna,127,91.52356426,71.83621852,61.77176887,1.164507202,21.23933289,75.54712509,17.09336383,43.96634061,14.18831715,33.50117081,962.2826107,469240,2.365059263,10
Nashik,467,161.3241374,270.3393387,62.73655322,1.842342234,13.54770586,91.38427432,42.06508456,69.79639154,2.079537731,0.751439819,1037.088447,121118,5.06791246,10
Agra,268,44.36112971,76.18793097,5.2062545,6.562121079,39.11126512,60.42413224,21.76163203,49.18231264,14.92458967,296.8968641,1000.064807,362669,5.137542271,10
Surat,227,40.54007401,97.43123004,32.93339144,0.432504114,28.39030626,85.28402201,16.63506625,59.43444078,5.816318281,199.0679855,999.8228628,12893,2.318799168,10
Kolkata,99,99.54875881,43.66464702,19.21842487,9.376491251,5.447609528,36.4276711,28.60575015,66.22451536,6.61301988,100.5699086,1008.73384,72114,3.116889184,10
Lucknow,117,139.7288834,205.0197672,36.11400213,8.207480278,48.55015045,40.5064543,17.72130024,87.99983459,9.482252443,197.6247989,986.5147628,58782,7.389271843,10
Meerut,315,98.39602914,239.588218,15.35205876,8.459231628,5.311662649,39.79653387,41.76963082,67.16884495,19.60258259,65.86379258,1039.766722,243906,6.48086242,10
Mumbai,495,30.40788491,148.8594646,44.16909661,1.36435605,43.56045441,17.31679245,12.26868195,96.19270631,12.9273285,279.638505,991.377745,478010,8.327157525,10
Rajkot,305,92.81651308,261.1837165,33.51129725,0.818045284,9.847907338,98.52580586,30.07803381,44.49349215,4.324260337,120.2785256,1048.828865,85758,3.625150756,10
Indore,103,37.01101374,229.0345302,5.359941364,4.164658617,10.04144781,69.24671763,14.35272969,98.71142555,13.57729919,14.80765253,1040.494502,439483,0.911635532,10
Bangalore,184,108.9785167,200.3724807,13.11628637,2.333852936,45.41482892,86.88089165,36.92559741,28.26121224,10.82674956,151.9419069,1044.229701,41032,6.565815404,10
Agra,426,19.08340974,20.85740529,17.4433654,3.000560105,48.17096625,23.81412132,40.38706576,89.89649913,18.64899123,75.25040397,1001.242094,132604,8.585805134,10
Pune,355,96.57024768,263.8487154,37.74906491,3.73408943,7.714994152,82.93230782,22.47302842,90.98322469,16.96529369,52.50571686,1023.541753,15098,8.642443145,10
Meerut,83,248.0762129,107.430293,5.281748738,9.262060057,36.68215244,24.88435206,29.82987223,33.47306707,1.482510705,103.3737364,1042.450171,18364,6.196271468,10
Vadodara,110,232.8904779,210.9413579,54.1466197,7.378303543,22.29514477,47.19095226,28.3351692,23.51283411,8.033984967,40.20097402,1011.450993,365644,3.084842886,10
Delhi,54,105.6806901,84.64611051,56.68164411,2.471798116,36.36022375,57.50904154,30.14486527,47.08356583,19.17919834,117.3024689,1024.592106,401294,4.336766885,10
Rajkot,146,26.58522184,191.7449019,53.51207736,2.49063746,9.052771717,95.67096386,36.64355779,87.24483472,8.247925663,28.71434808,987.254811,377737,0.31000233,10
Srinagar,311,222.5245844,279.1540523,27.73858187,3.586772188,4.227855795,56.93507844,32.42919808,79.22350395,19.08233214,93.55994151,1038.867391,412204,5.165134656,10
Varanasi,251,22.04090318,253.9197688,41.31502177,5.331174106,14.38521582,33.48073993,36.3505545,65.19187312,8.420453049,24.61768098,1036.881544,230917,1.313482354,10
Mumbai,475,191.6437942,57.83029258,79.81745025,5.138634514,41.02859685,80.81957154,17.7636007,91.69001063,6.358494136,5.605586592,991.133567,305248,2.920861662,10
Rajkot,472,199.6697663,205.5061867,42.57551311,7.117957573,5.348746711,82.69963296,34.07467748,21.76690904,14.50250994,112.1515162,1043.813118,361027,8.829308898,10
Rajkot,379,152.5589586,176.7927195,30.37395922,3.999217174,7.675952983,32.66017121,19.60309527,52.34027383,10.15970662,123.9414407,1048.499874,62796,7.222323498,10
Ahmedabad,359,108.5146363,297.190292,48.84045455,0.673130307,5.770230425,26.62221324,40.74513091,40.08880768,6.993035834,259.0344814,1031.765487,281881,1.804104014,10
Delhi,355,22.44330308,46.06189674,77.88250199,5.266340191,34.33498468,27.76486827,21.54438332,57.13498259,2.154359686,152.160363,1020.669832,267065,3.024321988,10
Varanasi,205,208.287501,274.7864515,17.18214753,8.443995235,24.37271276,10.69261875,19.77791699,54.08309382,13.62992365,57.72144438,995.2353263,234286,0.373625271,10
